"","osm_id","longitude","latitude","n_students"
"1",30312225,36.8040596,-1.2674856,37
"2",674552830,36.7973407,-1.2596897,5
"3",1399125354,36.7707718,-1.2903252,90
"4",1764153756,36.7687733,-1.2960508,43
"5",1867185524,36.7906608,-1.2585154,3
"6",2061462027,36.7789864,-1.2645748,69
"7",2061462030,36.7795976,-1.2652267,8
"8",2061462031,36.7788949,-1.2650873,36
"9",2061462033,36.7797052,-1.264725,11
"10",2468180197,36.7940754,-1.282812,10
"11",2468180199,36.7963821,-1.282147,80
"12",2468180201,36.7975462,-1.2826994,3
"13",2468180203,36.7975247,-1.2832786,77
"14",2468180205,36.7972136,-1.2832464,84
"15",2468180207,36.7971117,-1.2835735,69
"16",2468180209,36.7961997,-1.2834555,24
"17",2468180211,36.7956708,-1.2846042,94
"18",2468180213,36.7939504,-1.2842042,51
"19",2468180215,36.7941458,-1.2837299,33
"20",2468189973,36.7864433,-1.2814064,15
"21",2468189975,36.7869337,-1.2822246,58
"22",2468189978,36.7875557,-1.2818096,7
"23",2468189979,36.7871655,-1.280941,90
"24",2483120528,36.7553826,-1.2888117,48
"25",2483120529,36.7553836,-1.2890266,98
"26",2483120530,36.7558769,-1.2890244,32
"27",2483120531,36.7558762,-1.288871,53
"28",2483120532,36.7562395,-1.2888693,77
"29",2483120533,36.7562389,-1.2887316,94
"30",2483120534,36.7558036,-1.2887336,46
"31",2483120535,36.755804,-1.2888098,46
"32",2483120536,36.7546564,-1.2892602,42
"33",2483120537,36.7564856,-1.2893192,26
"34",2483120538,36.7565259,-1.2877344,90
"35",2483120539,36.7559948,-1.2877049,15
"36",2483120540,36.7558392,-1.2878229,9
"37",2483120541,36.7548763,-1.2888848,68
"38",2483120542,36.754541,-1.289228,4
"39",2484528096,36.7966936,-1.2595952,48
"40",2484528098,36.7976485,-1.2597346,90
"41",2484532836,36.7754957,-1.2689536,76
"42",2484532841,36.777949,-1.2682633,70
"43",2484532844,36.7779007,-1.2691375,79
"44",2484532847,36.7785391,-1.2693038,16
"45",2484532850,36.7783191,-1.2696309,36
"46",2484532854,36.7778149,-1.271331,98
"47",2484532857,36.7768332,-1.2710843,80
"48",2484532860,36.7753848,-1.2709556,7
"49",2484532862,36.7755434,-1.2694181,80
"50",2484533946,36.7655188,-1.2870263,60
"51",2484533947,36.7655556,-1.2875973,41
"52",2484533948,36.7647168,-1.2877229,34
"53",2484533949,36.7647517,-1.2870748,3
"54",2484533950,36.7646975,-1.2877327,28
"55",2484533951,36.7647351,-1.2878721,2
"56",2484533952,36.764958,-1.2877982,3
"57",2484533953,36.7649097,-1.2876581,54
"58",2491660139,36.7835731,-1.2924802,68
"59",2491660140,36.7847345,-1.2924373,33
"60",2491660141,36.784866,-1.2936896,49
"61",2491660142,36.7839996,-1.2937271,74
"62",2491660143,36.7836539,-1.2935053,55
"63",2491790080,36.7822067,-1.2572737,66
"64",2491790081,36.7841861,-1.25744,12
"65",2491790082,36.7840064,-1.2591509,13
"66",2491790083,36.7820256,-1.258888,22
"67",2499024984,36.7545827,-1.2895529,21
"68",2499024985,36.7545928,-1.2899155,57
"69",2499024986,36.7540843,-1.2902743,66
"70",2499024987,36.7542115,-1.2895535,72
"71",2546351658,36.7900236,-1.2760198,53
"72",2546351660,36.7901524,-1.2759501,90
"73",2546351662,36.7908551,-1.2759072,27
"74",2546351663,36.7925184,-1.2765642,25
"75",2546351665,36.7916383,-1.2773874,99
"76",2687961610,36.808515,-1.2761011,0
"77",2875798610,36.7971489,-1.2862694,43
"78",3181899962,36.7921531,-1.2763787,99
"79",3181900041,36.7941496,-1.2832957,43
"80",3797942363,36.7821066,-1.2583619,96
"81",3797942364,36.7821898,-1.2584665,77
"82",3797942366,36.7825519,-1.258578,78
"83",3797942369,36.7825519,-1.2585791,42
"84",3797942375,36.7824889,-1.2585694,61
"85",3797942376,36.7824955,-1.2585094,91
"86",3797942377,36.7824634,-1.2587775,82
"87",3797942378,36.7824887,-1.2585705,48
"88",3797942379,36.7825706,-1.2584263,66
"89",3797942380,36.7820422,-1.2588097,77
"90",3797942382,36.782525,-1.2588687,93
"91",3797942387,36.7821522,-1.2587346,98
"92",4192570231,36.7610514,-1.263128,23
"93",4192570232,36.7625182,-1.2628871,0
"94",4192570233,36.7638676,-1.2626134,33
"95",4192570234,36.7643366,-1.2625166,45
"96",4192570235,36.7647271,-1.2623829,21
"97",4192570236,36.7652686,-1.2621153,21
"98",4192570237,36.7662623,-1.2615567,72
"99",4192570238,36.7671615,-1.261003,16
"100",4192570239,36.767783,-1.260681,74
"101",4192570240,36.7682587,-1.2604881,30
"102",4192570241,36.7687446,-1.2602967,28
"103",4192570242,36.7695472,-1.2601087,37
"104",4192570243,36.7707673,-1.2598588,14
"105",4192570244,36.7704062,-1.2580673,71
"106",4192570298,36.7752005,-1.2680954,100
"107",4192570299,36.7754012,-1.2685351,89
"108",4192570300,36.776078,-1.2682196,51
"109",4192570301,36.7761536,-1.2675778,35
"110",4193917220,36.7806169,-1.2959644,34
"111",4193917221,36.7818189,-1.2959063,56
"112",4193917222,36.7817461,-1.2942348,25
"113",4193917223,36.7813363,-1.2942718,94
"114",4193917224,36.7813317,-1.2941301,24
"115",4193917225,36.7812578,-1.2941378,59
"116",4193917226,36.7812564,-1.2939277,32
"117",4193917227,36.7805409,-1.2939738,58
"118",4843663614,36.7686975,-1.2955181,19
"119",4843663615,36.7677372,-1.2953572,29
"120",4994970182,36.7986709,-1.2881453,86
"121",4994970183,36.7986975,-1.2880367,28
"122",4994970184,36.798904,-1.2880873,10
"123",4994970185,36.7989262,-1.2879965,35
"124",4994970186,36.7991261,-1.2880454,49
"125",4994970187,36.7990773,-1.2882448,65
"126",5327988317,36.7725243,-1.2704026,76
"127",5327992069,36.7743101,-1.2717053,67
"128",5328845942,36.8092278,-1.2818246,12
"129",5328845943,36.8081764,-1.2821839,45
"130",5328845944,36.8081174,-1.282613,32
"131",5328845945,36.807259,-1.2825218,17
"132",5328845946,36.8071088,-1.2831117,56
"133",5328845947,36.8066797,-1.283825,11
"134",5328845948,36.8074683,-1.2851283,30
"135",5328845949,36.8089864,-1.2850103,4
"136",5328845950,36.8101129,-1.2852355,17
"137",5328845951,36.8114165,-1.285745,48
"138",5328845952,36.8121621,-1.2846778,37
"139",5328845953,36.8118832,-1.2844096,50
"140",5328845954,36.8116418,-1.2839913,9
"141",5328845955,36.8116364,-1.2836266,51
"142",5328845956,36.811674,-1.2835622,44
"143",5328845957,36.8116579,-1.2831707,50
"144",5328845958,36.8111912,-1.2831064,81
"145",5328845959,36.8106494,-1.2829133,61
"146",5328845960,36.8102738,-1.2827095,91
"147",5328845961,36.8097428,-1.2822966,5
"148",5329314557,36.7782744,-1.2938925,93
"149",5329314558,36.7782198,-1.2927011,25
"150",5329314559,36.7789935,-1.2926657,54
"151",5329314560,36.7790481,-1.2938571,85
"152",5329314561,36.7791794,-1.2926804,7
"153",5329314562,36.7803382,-1.2926321,26
"154",5329314563,36.7804025,-1.2939407,66
"155",5329314564,36.7792492,-1.2939782,72
"156",5333172575,36.770708,-1.2701596,27
"157",5333175502,36.7711321,-1.2740573,73
"158",5333179718,36.7732583,-1.2769307,37
"159",5333182252,36.772695,-1.2773557,53
"160",5333183070,36.7737806,-1.2799686,40
"161",5333209252,36.7577491,-1.2641454,52
"162",5333209253,36.7586183,-1.2640477,1
"163",5333209254,36.7590698,-1.2640026,1
"164",5333230312,36.7739081,-1.264895,59
"165",5333230313,36.77448,-1.2656488,68
"166",5333230314,36.7753169,-1.2651208,55
"167",5333230315,36.7754227,-1.2650495,93
"168",5333230316,36.7748722,-1.2642398,20
"169",5333230317,36.774813,-1.2654778,11
"170",5333295388,36.7613491,-1.2820621,89
"171",5333295389,36.7609937,-1.2818246,4
"172",5333296837,36.7610181,-1.2814973,86
"173",5334960757,36.7568491,-1.2952437,18
"174",5339089383,36.754588,-1.2902438,47
"175",5339089384,36.7538114,-1.2901164,6
"176",5339106869,36.7705757,-1.2813645,52
"177",5339117803,36.7718444,-1.2766869,66
"178",5339117804,36.7720006,-1.2764181,13
"179",5339117805,36.7724019,-1.2766296,35
"180",5339117806,36.7722477,-1.2769182,5
"181",5414280529,36.7885414,-1.2925962,77
"182",5414280530,36.7886276,-1.2929777,64
"183",5414280531,36.7892281,-1.2927276,9
"184",5414280532,36.7890642,-1.2929226,58
"185",5414280533,36.7892659,-1.2929511,84
"186",5414280534,36.7892282,-1.2929487,41
"187",5414280535,36.7886592,-1.2930009,83
"188",5414280559,36.7888316,-1.2929443,84
"189",5440491074,36.781833,-1.2925422,92
"190",5440491075,36.7818642,-1.2935847,81
"191",5440491076,36.7835456,-1.29357,89
"192",5456668645,36.7939689,-1.2920693,13
"193",5456734642,36.8058428,-1.2772584,77
